"","description","NUTS_ID","area_total","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","FID","area_size_total"
"1","Fruit tree and berry plantations","DE111",15315893.35085,3,"DE","Stuttgart, Stadtkreis","Stuttgart, Stadtkreis",4,1,3,"DE111",210111231.572561
"2","Fruit tree and berry plantations","DE112",37858628.98575,3,"DE","Böblingen","Böblingen",4,1,3,"DE112",616706354.998487
"3","Fruit tree and berry plantations","DE113",114494806.95355,3,"DE","Esslingen","Esslingen",4,1,3,"DE113",639653087.634639
"4","Fruit tree and berry plantations","DE114",40256839.63415,3,"DE","Göppingen","Göppingen",3,1,3,"DE114",642175034.832007
"5","Fruit tree and berry plantations","DE115",54832128.6587503,3,"DE","Ludwigsburg","Ludwigsburg",4,1,3,"DE115",685990294.660686
"6","Fruit tree and berry plantations","DE116",98402584.4825,3,"DE","Rems-Murr-Kreis","Rems-Murr-Kreis",4,1,3,"DE116",856918530.725362
"7","Fruit tree and berry plantations","DE117",929094.44215,3,"DE","Heilbronn, Stadtkreis","Heilbronn, Stadtkreis",4,2,3,"DE117",100661417.036062
"8","Fruit tree and berry plantations","DE118",37143169.6160499,3,"DE","Heilbronn, Landkreis","Heilbronn, Landkreis",4,2,3,"DE118",1098993992.80318
"9","Fruit tree and berry plantations","DE119",29663669.83465,3,"DE","Hohenlohekreis","Hohenlohekreis",4,3,3,"DE119",777054680.59534
"10","Fruit tree and berry plantations","DE11A",9478093.8059501,3,"DE","Schwäbisch Hall","Schwäbisch Hall",4,3,3,"DE11A",1484723816.9574
"11","Fruit tree and berry plantations","DE11B",18222656.3451501,3,"DE","Main-Tauber-Kreis","Main-Tauber-Kreis",4,3,3,"DE11B",1304391537.28439
"12","Fruit tree and berry plantations","DE11C",1680242.2409999,3,"DE","Heidenheim","Heidenheim",4,2,3,"DE11C",626943384.753197
"13","Fruit tree and berry plantations","DE11D",16608683.0350498,3,"DE","Ostalbkreis","Ostalbkreis",4,2,3,"DE11D",1511168828.10402
"14","Fruit tree and berry plantations","DE121",8169352.8897,3,"DE","Baden-Baden, Stadtkreis","Baden-Baden, Stadtkreis",3,1,3,"DE121",139700810.054739
"15","Fruit tree and berry plantations","DE122",7957590.9285499,3,"DE","Karlsruhe, Stadtkreis","Karlsruhe, Stadtkreis",4,1,3,"DE122",174498748.643615
"16","Fruit tree and berry plantations","DE123",61333696.03785,3,"DE","Karlsruhe, Landkreis","Karlsruhe, Landkreis",4,1,3,"DE123",1083742989.38858
"17","Fruit tree and berry plantations","DE124",59551002.0042501,3,"DE","Rastatt","Rastatt",4,1,3,"DE124",739544382.998046
"18","Fruit tree and berry plantations","DE125",4142609.2073,3,"DE","Heidelberg, Stadtkreis","Heidelberg, Stadtkreis",3,1,3,"DE125",109597719.509603
"19","Fruit tree and berry plantations","DE126",76038.7275,3,"DE","Mannheim, Stadtkreis","Mannheim, Stadtkreis",4,1,3,"DE126",145121268.985362
"20","Fruit tree and berry plantations","DE127",8361066.011,3,"DE","Neckar-Odenwald-Kreis","Neckar-Odenwald-Kreis",4,3,3,"DE127",1125966997.13839
"21","Fruit tree and berry plantations","DE128",21259133.9678502,3,"DE","Rhein-Neckar-Kreis","Rhein-Neckar-Kreis",4,1,3,"DE128",1060449184.94986
"22","Fruit tree and berry plantations","DE129",7635318.8016,3,"DE","Pforzheim, Stadtkreis","Pforzheim, Stadtkreis",2,2,3,"DE129",98477334.4854167
"23","Fruit tree and berry plantations","DE12A",10880155.9099,3,"DE","Calw","Calw",2,3,3,"DE12A",797563034.692163
"24","Fruit tree and berry plantations","DE12B",48342580.4485,3,"DE","Enzkreis","Enzkreis",4,2,3,"DE12B",573053894.384032
"25","Fruit tree and berry plantations","DE12C",5384397.78225,3,"DE","Freudenstadt","Freudenstadt",3,3,3,"DE12C",870822637.050476
"26","Fruit tree and berry plantations","DE131",1378689.3331,3,"DE","Freiburg im Breisgau, Stadtkreis","Freiburg im Breisgau, Stadtkreis",4,2,3,"DE131",154093476.898963
"27","Fruit tree and berry plantations","DE132",21430765.5795,3,"DE","Breisgau-Hochschwarzwald","Breisgau-Hochschwarzwald",2,2,3,"DE132",1376919977.57085
"28","Fruit tree and berry plantations","DE133",20815382.5278,3,"DE","Emmendingen","Emmendingen",2,2,3,"DE133",680111254.844883
"29","Fruit tree and berry plantations","DE134",112508391.95165,3,"DE","Ortenaukreis","Ortenaukreis",2,2,3,"DE134",1859698705.84385
"30","Fruit tree and berry plantations","DE135",6000898.3754499,3,"DE","Rottweil","Rottweil",4,3,3,"DE135",769776098.745494
"31","Fruit tree and berry plantations","DE136",534456.3566,3,"DE","Schwarzwald-Baar-Kreis","Schwarzwald-Baar-Kreis",4,2,3,"DE136",1026381921.87872
"32","Fruit tree and berry plantations","DE137",1252312.7595,3,"DE","Tuttlingen","Tuttlingen",3,2,3,"DE137",733132549.453917
"33","Fruit tree and berry plantations","DE138",26131195.2372,3,"DE","Konstanz","Konstanz",4,2,3,"DE138",863233863.937629
"34","Fruit tree and berry plantations","DE139",34504292.626464,3,"DE","Lörrach","Lörrach",3,2,3,"DE139",807519402.432648
"35","Fruit tree and berry plantations","DE13A",11875323.3545,3,"DE","Waldshut","Waldshut",3,2,3,"DE13A",1131027190.77065
"36","Fruit tree and berry plantations","DE141",41941774.9883001,3,"DE","Reutlingen","Reutlingen",1,2,3,"DE141",1092928197.42345
"37","Fruit tree and berry plantations","DE142",48698224.1559501,3,"DE","Tübingen, Landkreis","Tübingen, Landkreis",4,2,3,"DE142",519699131.934403
"38","Fruit tree and berry plantations","DE143",21200536.3068,3,"DE","Zollernalbkreis","Zollernalbkreis",3,2,3,"DE143",917334100.757974
"39","Fruit tree and berry plantations","DE144",467258.0653,3,"DE","Ulm, Stadtkreis","Ulm, Stadtkreis",4,2,3,"DE144",119375741.619876
"40","Fruit tree and berry plantations","DE145",5333635.84665,3,"DE","Alb-Donau-Kreis","Alb-Donau-Kreis",4,2,3,"DE145",1357309263.38533
"41","Fruit tree and berry plantations","DE146",2259424.9068499,3,"DE","Biberach","Biberach",4,3,3,"DE146",1410291001.8721
"42","Fruit tree and berry plantations","DE147",129627291.7432,3,"DE","Bodenseekreis","Bodenseekreis",4,2,3,"DE147",881414111.057589
"43","Fruit tree and berry plantations","DE148",36840928.34445,3,"DE","Ravensburg","Ravensburg",4,2,3,"DE148",1632852195.73125
"44","Fruit tree and berry plantations","DE149",2618644.0892501,3,"DE","Sigmaringen","Sigmaringen",4,3,3,"DE149",1204748486.40452
"45","Fruit tree and berry plantations","DE212",53382.27125,3,"DE","München, Kreisfreie Stadt","München, Kreisfreie Stadt",4,1,3,"DE212",311773686.596285
"46","Fruit tree and berry plantations","DE214",58130.9325,3,"DE","Altötting","Altötting",4,2,3,"DE214",568637620.844652
"47","Fruit tree and berry plantations","DE219",7082624.02805,3,"DE","Eichstätt","Eichstätt",4,2,3,"DE219",1214987684.53575
"48","Fruit tree and berry plantations","DE21A",82173.405,3,"DE","Erding","Erding",4,3,3,"DE21A",870735570.749398
"49","Fruit tree and berry plantations","DE21B",19624872.35915,3,"DE","Freising","Freising",4,2,3,"DE21B",799220968.906402
"50","Fruit tree and berry plantations","DE21C",92118.45625,3,"DE","Fürstenfeldbruck","Fürstenfeldbruck",4,2,3,"DE21C",434303131.514166
"51","Fruit tree and berry plantations","DE21F",71995.5425,3,"DE","Miesbach","Miesbach",3,2,3,"DE21F",867878819.720599
"52","Fruit tree and berry plantations","DE21G",877730.29,3,"DE","Mühldorf a. Inn","Mühldorf a. Inn",4,3,3,"DE21G",805051413.631094
"53","Fruit tree and berry plantations","DE21H",211440.74125,3,"DE","München, Landkreis","München, Landkreis",4,1,3,"DE21H",664005409.595299
"54","Fruit tree and berry plantations","DE21I",457285.63255,3,"DE","Neuburg-Schrobenhausen","Neuburg-Schrobenhausen",4,3,3,"DE21I",740797368.95015
"55","Fruit tree and berry plantations","DE21J",56360961.3614498,3,"DE","Pfaffenhofen a. d. Ilm","Pfaffenhofen a. d. Ilm",4,2,3,"DE21J",760884170.082064
"56","Fruit tree and berry plantations","DE21K",367155.3154,3,"DE","Rosenheim, Landkreis","Rosenheim, Landkreis",4,2,3,"DE21K",1441126051.81986
"57","Fruit tree and berry plantations","DE21L",308613.9275,3,"DE","Starnberg","Starnberg",4,2,3,"DE21L",485962879.134515
"58","Fruit tree and berry plantations","DE21N",197596.41555,3,"DE","Weilheim-Schongau","Weilheim-Schongau",4,2,3,"DE21N",967862689.399724
"59","Fruit tree and berry plantations","DE222",55536.66095,3,"DE","Passau, Kreisfreie Stadt","Passau, Kreisfreie Stadt",4,3,3,"DE222",70507066.2646052
"60","Fruit tree and berry plantations","DE224",142013.6,3,"DE","Deggendorf","Deggendorf",4,3,3,"DE224",860830092.648876
"61","Fruit tree and berry plantations","DE226",63385626.82475,3,"DE","Kelheim","Kelheim",4,3,3,"DE226",1063580761.75501
"62","Fruit tree and berry plantations","DE227",11652255.0179,3,"DE","Landshut, Landkreis","Landshut, Landkreis",4,3,3,"DE227",1347018653.24374
"63","Fruit tree and berry plantations","DE228",890404.42665,3,"DE","Passau, Landkreis","Passau, Landkreis",4,3,3,"DE228",1528530882.03236
"64","Fruit tree and berry plantations","DE22A",80648.41125,3,"DE","Rottal-Inn","Rottal-Inn",4,3,3,"DE22A",1281883718.03827
"65","Fruit tree and berry plantations","DE22B",169655.38625,3,"DE","Straubing-Bogen","Straubing-Bogen",4,3,3,"DE22B",1202289544.38978
"66","Fruit tree and berry plantations","DE232",230969.6946,3,"DE","Regensburg, Kreisfreie Stadt","Regensburg, Kreisfreie Stadt",4,2,3,"DE232",79686410.9380194
"67","Fruit tree and berry plantations","DE235",169655.38625,3,"DE","Cham","Cham",4,3,3,"DE235",1526051890.16244
"68","Fruit tree and berry plantations","DE237",69824.70625,3,"DE","Neustadt a. d. Waldnaab","Neustadt a. d. Waldnaab",4,3,3,"DE237",1427910653.4614
"69","Fruit tree and berry plantations","DE238",2501870.5298,3,"DE","Regensburg, Landkreis","Regensburg, Landkreis",4,2,3,"DE238",1392336652.46492
"70","Fruit tree and berry plantations","DE239",69824.70625,3,"DE","Schwandorf","Schwandorf",4,3,3,"DE239",1459187333.25126
"71","Fruit tree and berry plantations","DE241",71512.785,3,"DE","Bamberg, Kreisfreie Stadt","Bamberg, Kreisfreie Stadt",4,2,3,"DE241",54554220.8261781
"72","Fruit tree and berry plantations","DE245",274723.42065,3,"DE","Bamberg, Landkreis","Bamberg, Landkreis",4,2,3,"DE245",1167414617.04728
"73","Fruit tree and berry plantations","DE247",176572.4725,3,"DE","Coburg, Landkreis","Coburg, Landkreis",4,2,3,"DE247",591153790.812475
"74","Fruit tree and berry plantations","DE248",12153732.6007001,3,"DE","Forchheim","Forchheim",4,2,3,"DE248",642924442.77897
"75","Fruit tree and berry plantations","DE24C",50809.92,3,"DE","Lichtenfels","Lichtenfels",4,3,3,"DE24C",519420213.691818
"76","Fruit tree and berry plantations","DE252",58236.45125,3,"DE","Erlangen, Kreisfreie Stadt","Erlangen, Kreisfreie Stadt",4,1,3,"DE252",78147269.3994493
"77","Fruit tree and berry plantations","DE255",64776.03625,3,"DE","Schwabach, Kreisfreie Stadt","Schwabach, Kreisfreie Stadt",4,1,3,"DE255",40751531.2470088
"78","Fruit tree and berry plantations","DE256",393137.70175,3,"DE","Ansbach, Landkreis","Ansbach, Landkreis",4,3,3,"DE256",1971975510.503
"79","Fruit tree and berry plantations","DE257",450412.6805,3,"DE","Erlangen-Höchstadt","Erlangen-Höchstadt",4,1,3,"DE257",565048291.834412
"80","Fruit tree and berry plantations","DE258",126409.52875,3,"DE","Fürth, Landkreis","Fürth, Landkreis",4,1,3,"DE258",306827003.78163
"81","Fruit tree and berry plantations","DE259",800155.3475,3,"DE","Nürnberger Land","Nürnberger Land",4,2,3,"DE259",798072667.014482
"82","Fruit tree and berry plantations","DE25A",1740794.01,3,"DE","Neustadt a. d. Aisch-Bad Windsheim","Neustadt a. d. Aisch-Bad Windsheim",4,3,3,"DE25A",1267156208.50574
"83","Fruit tree and berry plantations","DE25B",1638375.0258,3,"DE","Roth","Roth",4,2,3,"DE25B",895869447.767299
"84","Fruit tree and berry plantations","DE25C",526722.1589,3,"DE","Weißenburg-Gunzenhausen","Weißenburg-Gunzenhausen",4,3,3,"DE25C",969833051.721287
"85","Fruit tree and berry plantations","DE261",1696731.7025,3,"DE","Aschaffenburg, Kreisfreie Stadt","Aschaffenburg, Kreisfreie Stadt",4,1,3,"DE261",62095616.8662336
"86","Fruit tree and berry plantations","DE263",371688.83625,3,"DE","Würzburg, Kreisfreie Stadt","Würzburg, Kreisfreie Stadt",4,2,3,"DE263",88293196.6210524
"87","Fruit tree and berry plantations","DE264",2537534.538,3,"DE","Aschaffenburg, Landkreis","Aschaffenburg, Landkreis",4,1,3,"DE264",699225290.869527
"88","Fruit tree and berry plantations","DE265",509374.30275,3,"DE","Bad Kissingen","Bad Kissingen",4,3,3,"DE265",1137053515.01027
"89","Fruit tree and berry plantations","DE266",818996.7721,3,"DE","Rhön-Grabfeld","Rhön-Grabfeld",4,3,3,"DE266",1021849206.68919
"90","Fruit tree and berry plantations","DE267",1041824.8535,3,"DE","Haßberge","Haßberge",4,3,3,"DE267",957089041.896937
"91","Fruit tree and berry plantations","DE268",5565355.7633009,3,"DE","Kitzingen","Kitzingen",4,3,3,"DE268",683480816.827557
"92","Fruit tree and berry plantations","DE269",8594536.692,3,"DE","Miltenberg","Miltenberg",2,2,3,"DE269",714910368.280708
"93","Fruit tree and berry plantations","DE26A",4741406.19,3,"DE","Main-Spessart","Main-Spessart",4,3,3,"DE26A",1322491608.33352
"94","Fruit tree and berry plantations","DE26B",2045300.45155,3,"DE","Schweinfurt, Landkreis","Schweinfurt, Landkreis",4,2,3,"DE26B",841574565.301676
"95","Fruit tree and berry plantations","DE26C",11270750.45655,3,"DE","Würzburg, Landkreis","Würzburg, Landkreis",4,2,3,"DE26C",966710893.829081
"96","Fruit tree and berry plantations","DE275",1009882.63095,3,"DE","Aichach-Friedberg","Aichach-Friedberg",4,2,3,"DE275",780056152.198697
"97","Fruit tree and berry plantations","DE276",87524.03125,3,"DE","Augsburg, Landkreis","Augsburg, Landkreis",4,1,3,"DE276",1072378068.37977
"98","Fruit tree and berry plantations","DE279",52599.6651,3,"DE","Neu-Ulm","Neu-Ulm",4,2,3,"DE279",515325483.665401
