"","description","NUTS_ID","area_total","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","FID"
"1","Fruit tree and berry plantations","DE11",448867853.21055,2,"DE","Stuttgart","Stuttgart",0,NA,0,"DE11"
"2","Fruit tree and berry plantations","DE12",220228627.45145,2,"DE","Karlsruhe","Karlsruhe",0,NA,0,"DE12"
"3","Fruit tree and berry plantations","DE13",226166061.056664,2,"DE","Freiburg","Freiburg",0,NA,0,"DE13"
"4","Fruit tree and berry plantations","DE14",274555096.47365,2,"DE","Tübingen","Tübingen",0,NA,0,"DE14"
"5","Fruit tree and berry plantations","DE21",82827549.7008998,2,"DE","Oberbayern","Oberbayern",0,NA,0,"DE21"
"6","Fruit tree and berry plantations","DE22",73535198.72945,2,"DE","Niederbayern","Niederbayern",0,NA,0,"DE22"
"7","Fruit tree and berry plantations","DE23",2972320.3169,2,"DE","Oberpfalz","Oberpfalz",0,NA,0,"DE23"
"8","Fruit tree and berry plantations","DE24",12727351.1988501,2,"DE","Oberfranken","Oberfranken",0,NA,0,"DE24"
"9","Fruit tree and berry plantations","DE25",5734242.90445,2,"DE","Mittelfranken","Mittelfranken",0,NA,0,"DE25"
"10","Fruit tree and berry plantations","DE26",36887736.3169009,2,"DE","Unterfranken","Unterfranken",0,NA,0,"DE26"
"11","Fruit tree and berry plantations","DE27",12503669.68005,2,"DE","Schwaben","Schwaben",0,NA,0,"DE27"
"12","Fruit tree and berry plantations","DE40",40870974.34325,2,"DE","Brandenburg","Brandenburg",0,NA,0,"DE40"
"13","Fruit tree and berry plantations","DE60",69886386.88255,2,"DE","Hamburg","Hamburg",0,NA,0,"DE60"
"14","Fruit tree and berry plantations","DE71",65901160.5509,2,"DE","Darmstadt","Darmstadt",0,NA,0,"DE71"
"15","Fruit tree and berry plantations","DE72",6531598.05295,2,"DE","Gießen","Gießen",0,NA,0,"DE72"
"16","Fruit tree and berry plantations","DE73",12320660.274,2,"DE","Kassel","Kassel",0,NA,0,"DE73"
"17","Fruit tree and berry plantations","DE80",26136092.14225,2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",0,NA,0,"DE80"
"18","Fruit tree and berry plantations","DE91",1077698.95085,2,"DE","Braunschweig","Braunschweig",0,NA,0,"DE91"
"19","Fruit tree and berry plantations","DE92",6429296.8752499,2,"DE","Hannover","Hannover",0,NA,0,"DE92"
"20","Fruit tree and berry plantations","DE93",122048497.8776,2,"DE","Lüneburg","Lüneburg",0,NA,0,"DE93"
"21","Fruit tree and berry plantations","DE94",1533174.68965,2,"DE","Weser-Ems","Weser-Ems",0,NA,0,"DE94"
"22","Fruit tree and berry plantations","DEA1",7977198.0448999,2,"DE","Düsseldorf","Düsseldorf",0,NA,0,"DEA1"
"23","Fruit tree and berry plantations","DEA2",23499050.0151499,2,"DE","Köln","Köln",0,NA,0,"DEA2"
"24","Fruit tree and berry plantations","DEA3",1791629.8372231,2,"DE","Münster","Münster",0,NA,0,"DEA3"
"25","Fruit tree and berry plantations","DEA4",3455322.0564998,2,"DE","Detmold","Detmold",0,NA,0,"DEA4"
"26","Fruit tree and berry plantations","DEA5",299308.5504,2,"DE","Arnsberg","Arnsberg",0,NA,0,"DEA5"
