"","description","NUTS_ID","area_total","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","FID"
"1","Coastal lagoons","DE80",1106452599.8592,2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",0,NA,0,"DE80"
"2","Coastal lagoons","DEF0",56412391.5312,2,"DE","Schleswig-Holstein","Schleswig-Holstein",0,NA,0,"DEF0"
"3","Esruaries","DE50",70639901.5367,2,"DE","Bremen","Bremen",0,NA,0,"DE50"
"4","Esruaries","DE60",281380269.389,2,"DE","Hamburg","Hamburg",0,NA,0,"DE60"
"5","Esruaries","DE93",352077835.6701,2,"DE","Lüneburg","Lüneburg",0,NA,0,"DE93"
"6","Esruaries","DE94",146958362.8432,2,"DE","Weser-Ems","Weser-Ems",0,NA,0,"DE94"
"7","Esruaries","DEF0",289700508.95155,2,"DE","Schleswig-Holstein","Schleswig-Holstein",0,NA,0,"DEF0"
"8","Sea and ocean","DE60",84421.4136999,2,"DE","Hamburg","Hamburg",0,NA,0,"DE60"
"9","Sea and ocean","DE80",10791513314.1,2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",0,NA,0,"DE80"
"10","Sea and ocean","DE94",9234699860,2,"DE","Weser-Ems","Weser-Ems",0,NA,0,"DE94"
"11","Sea and ocean","DEF0",20026354759.8153,2,"DE","Schleswig-Holstein","Schleswig-Holstein",0,NA,0,"DEF0"
"12","Water bodies","DE11",5723129.9559001,2,"DE","Stuttgart","Stuttgart",0,NA,0,"DE11"
"13","Water bodies","DE12",37920361.8200999,2,"DE","Karlsruhe","Karlsruhe",0,NA,0,"DE12"
"14","Water bodies","DE13",545577435.61845,2,"DE","Freiburg","Freiburg",0,NA,0,"DE13"
"15","Water bodies","DE14",496601149.4147,2,"DE","Tübingen","Tübingen",0,NA,0,"DE14"
"16","Water bodies","DE21",322925025.7893,2,"DE","Oberbayern","Oberbayern",0,NA,0,"DE21"
"17","Water bodies","DE22",25415484.0228001,2,"DE","Niederbayern","Niederbayern",0,NA,0,"DE22"
"18","Water bodies","DE23",52148768.2355999,2,"DE","Oberpfalz","Oberpfalz",0,NA,0,"DE23"
"19","Water bodies","DE24",20194550.7395,2,"DE","Oberfranken","Oberfranken",0,NA,0,"DE24"
"20","Water bodies","DE25",35788933.5218001,2,"DE","Mittelfranken","Mittelfranken",0,NA,0,"DE25"
"21","Water bodies","DE26",15999614.1785498,2,"DE","Unterfranken","Unterfranken",0,NA,0,"DE26"
"22","Water bodies","DE27",553946747.03555,2,"DE","Schwaben","Schwaben",0,NA,0,"DE27"
"23","Water bodies","DE30",51324480.1551499,2,"DE","Berlin","Berlin",0,NA,0,"DE30"
"24","Water bodies","DE40",713322825.66765,2,"DE","Brandenburg","Brandenburg",0,NA,0,"DE40"
"25","Water bodies","DE50",8410408.9914501,2,"DE","Bremen","Bremen",0,NA,0,"DE50"
"26","Water bodies","DE60",14983443.48955,2,"DE","Hamburg","Hamburg",0,NA,0,"DE60"
"27","Water bodies","DE71",19791759.7427501,2,"DE","Darmstadt","Darmstadt",0,NA,0,"DE71"
"28","Water bodies","DE72",8670315.8940501,2,"DE","Gießen","Gießen",0,NA,0,"DE72"
"29","Water bodies","DE73",24721099.15745,2,"DE","Kassel","Kassel",0,NA,0,"DE73"
"30","Water bodies","DE80",776002194.69085,2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",0,NA,0,"DE80"
"31","Water bodies","DE91",42719681.0777,2,"DE","Braunschweig","Braunschweig",0,NA,0,"DE91"
"32","Water bodies","DE92",90616553.9843506,2,"DE","Hannover","Hannover",0,NA,0,"DE92"
"33","Water bodies","DE93",47653884.71205,2,"DE","Lüneburg","Lüneburg",0,NA,0,"DE93"
"34","Water bodies","DE94",104692316.192,2,"DE","Weser-Ems","Weser-Ems",0,NA,0,"DE94"
"35","Water bodies","DEA1",85976540.5572873,2,"DE","Düsseldorf","Düsseldorf",0,NA,0,"DEA1"
"36","Water bodies","DEA2",58613082.6443988,2,"DE","Köln","Köln",0,NA,0,"DEA2"
"37","Water bodies","DEA3",26254239.33035,2,"DE","Münster","Münster",0,NA,0,"DEA3"
"38","Water bodies","DEA4",34353986.6562999,2,"DE","Detmold","Detmold",0,NA,0,"DEA4"
